parentCompany,businessName,businessType,expires,street,city,state,zip,Latitude,Longitude,Accuracy Score,Street,City,State,County,Zip
MCSQUARED INC,BETCHA LIQUORS,Liquor Store (city), 12/09/2015,5406 ACADEMY BLVD,COLORADO SPRINGS,CO,809183602,38.907038378378,-104.78204410811,0.9,5406 N Academy Blvd,Colorado Springs,CO,El Paso County,80918
MDD BASSI INC,UNITED WINE AND LIQUOR,Liquor Store (city), 03/02/2016,5752 NORTH ACADEMY BOULEVARD,Colorado Springs,CO,80918,38.914265020408,-104.78762738776,0.9,5752 N Academy Blvd,Colorado Springs,CO,El Paso County,80918
MONTANA LIQUORS OF COS INC,MONTANA LIQUORS,Liquor Store (city), 03/22/2016,6530 S ACADEMY BLVD #101,COLORADO SPRINGS,CO,809068635,38.765763916667,-104.81187033333,1,6530 S Academy Blvd,Colorado Springs,CO,El Paso County,80906
MORRISSEY MICHAEL J EMESON MARTIN,DRIVE IN LIQUORS,Liquor Store (city), 04/03/2016,141 N SPRUCE ST,COLORADO SPRINGS,CO,809051409,38.836148333333,-104.832492,1,141 N Spruce St,Colorado Springs,CO,El Paso County,80905
MOUNTAIN LIQUOR COMPANY INC,COSTCO LIQUORS AT COLORADO SPRINGS,Liquor Store (city), 09/24/2015,5881 BARNES RD,COLORADO SPRINGS,CO,80922,38.896988,-104.743328,0.8, Barnes Rd,Colorado Springs,CO,El Paso County,80917
"MOUNTAIN SHADOWS LIQUOR, LLC",MOUNTAIN SHADOWS LIQUOR,Liquor Store (city), 11/03/2015,6840 CENTENNIAL BLVD,Colorado Springs,CO,80919,38.93078927907,-104.86515975,0.9,6840 Centennial Blvd,Colorado Springs,CO,El Paso County,80919
N & K INC,VICKERS LIQUOR STORE,Liquor Store (city), 01/09/2016,5690 N UNION BLVD,COLORADO SPRINGS,CO,809181940,38.878612,-104.826451,0.33,0,Colorado Springs,CO,El Paso County,80907
N AND M ENTERPRISES LLC,FLINTRIDGE HOUSE OF SPIRITS,Liquor Store (city), 09/15/2015,4779 FLINTRIDGE DR,Colorado Springs,CO,809184230,38.901188695652,-104.76816632609,1,4779 Flintridge Dr,Colorado Springs,CO,El Paso County,80918
NEW GENERATION LIQUOR LLC,CHEERS LIQUOR MART,Liquor Store (city), 12/12/2015,1105 N CIRCLE DR,Colorado Springs,CO,809183134,38.847914938776,-104.77582546939,1,1105 N Cir,Colorado Springs,CO,El Paso County,80909
NYRCAN INC,D & S LIQUORS,Liquor Store (city), 05/13/2016,2535 DELTA DR,Colorado Springs,CO,80910,38.79589828,-104.76621092,1,2535 Delta Dr,Colorado Springs,CO,El Paso County,80910
P&C ENTERPRISES INC,CELLAR AT ROCKRIMMON,Liquor Store (city), 05/17/2016,6606 DELMONICO DR,COLORADO SPRINGS,CO,809191810,38.92791775,-104.830403,1,6606 Delmonico Dr,Colorado Springs,CO,El Paso County,80919
PAHK BEVERAGES LLC,P WESTSIDE LIQUORS,Liquor Store (city), 05/01/2016,1431 W COLORADO AVE,COLORADO SPRINGS,CO,809044112,38.838244632653,-104.84748297959,0.9,1431 W Colorado Ave,Colorado Springs,CO,El Paso County,80904
PARADISE LIQUORS LLC,SOUTH NEVADA LIQUORS,Liquor Store (city), 08/05/2016,1107 S NEVADA AVE,Colorado Springs,CO,809034325,38.818291815385,-104.8224322,0.9,1107 S Nevada Ave,Colorado Springs,CO,El Paso County,80903
PATEL NEELESH S,JOHNNIES LIQUOR STORE,Liquor Store (city), 04/15/2016,1725 S NEVADA AVE,Colorado Springs,CO,809062223,38.809142,-104.82229673684,0.9,1725 S Nevada Ave,Colorado Springs,CO,El Paso County,80905
PCWS LLC,PINE CREEK WINE,Liquor Store (city), 04/09/2016,9235 N UNION BLVD #100,COLORADO SPRINGS,CO,809207831,38.878612,-104.826451,0.33,0,Colorado Springs,CO,El Paso County,80907
"QUALITY LIQUORS, LLC","QUALITY LIQUORS, LLC",Liquor Store (city), 09/29/2015,2871 MURRAY BLVD,COLORADO SPRINGS,CO,809173618,38.824129,-104.749402,0.8, S Murray Blvd,Colorado Springs,CO,El Paso County,80916
QUEEN LIQUOR INC,QUEEN LIQUOR,Liquor Store (city), 12/09/2015,1744 W UINTAH,COLORADO SPRINGS,CO,809042958,38.8479456,-104.8471684,0.9,1744 W Uintah St,Colorado Springs,CO,El Paso County,80904
RED CELLAR DOOR WINE & SPIRITS LLC,WINE GALLERY WINE & SPIRITS THE,Liquor Store (city), 06/24/2016,5903 DELMONICO DR,Colorado Springs,CO,80919,38.916236723404,-104.82379531915,1,5903 Delmonico Dr,Colorado Springs,CO,El Paso County,80919
RYAN C ENTERPRISESINC,CHEYENNE MOUNTAIN LIQUORS,Liquor Store (city), 08/24/2016,730 CHEYENNE MEADOWS RD,COLORADO SPRINGS,CO,809064943,38.776366816327,-104.81523683673,1,730 Cheyenne Meadows Rd,Colorado Springs,CO,El Paso County,80906
SALVADOR KIM Y SALVADOR BONG S,KS LIQUOR,Liquor Store (city), 12/07/2015,2060 S ACADEMY,Colorado Springs,CO,809102447,38.804094,-104.772059,0.33,0,Colorado Springs,CO,El Paso County,80910
SANJAY CORPORATION,BROADMOOR WINE & SPIRITS,Liquor Store (city), 10/10/2015,116 E CHEYENNE MTN BLVD,Colorado Springs,CO,809063718,38.806649,-104.82448566667,0.9,116 E Cheyenne Rd,Colorado Springs,CO,El Paso County,80906
SARAI INVESTMENTS INC,J&K LIQUORS,Liquor Store (city), 01/07/2016,2906 POWERS BLVD,Colorado Springs,CO,809222801,38.854206,-104.720032,0.8, N Powers Blvd,Colorado Springs,CO,El Paso County,80915
SARIKA CORPORATION,FILLMORE LIQUOR,Liquor Store (city), 12/09/2015,810 EAST FILLMORE ST,Colorado Springs,CO,80907,38.874101530612,-104.81099528571,1,810 E Fillmore St,Colorado Springs,CO,El Paso County,80907
SATELLITE LIQUOR LLC,SATELLITE LIQUOR,Liquor Store (city), 10/05/2015,296 S ACADEMY UNIT G,COLORADO SPRINGS,CO,80903,38.76572,-104.794082,0.8, S Academy Blvd,Colorado Springs,CO,El Paso County,80916
SHERMAN SPIRITS LLC,FLYING HORSE WINE AND SPIRITS,Liquor Store (city), 07/01/2016,2678 NORTH GATE BLVD,Colorado Springs,CO,80921,39.034710666667,-104.77863308333,0.9,2678 N Gate Rd,Colorado Springs,CO,El Paso County,80921
SINGH NELVI AVTAR SINGH ARVINDER,BARNES LIQUOR,Liquor Store (city), 12/16/2015,4819 BARNES RD,Colorado Springs,CO,809171721,38.896975837209,-104.73817790698,1,4819 Barnes Rd,Colorado Springs,CO,El Paso County,80917
SMOKER KING INC,SMOKER KING INC.,Liquor Store (city), 01/11/2016,1951 W UINTAH ST,COLORADO SPRINGS,CO,809042739,38.847804521739,-104.85090513043,0.9,1951 W Uintah St,Colorado Springs,CO,El Paso County,80904
SONG STEPHEN J,AUDUBON LIQUORS,Liquor Store (city), 08/16/2015,2429 N UNION BLVD,Colorado Springs,CO,809091107,38.878612,-104.826451,0.33,0,Colorado Springs,CO,El Paso County,80907
SOVEREIGNTY WINES INC,SOVEREIGNTY WINES,Liquor Store (city), 02/18/2016,1785 S 8TH ST STE A/B,COLORADO SPRINGS,CO,809061986,38.805069333333,-104.840838,1,1785 S 8th St,Colorado Springs,CO,El Paso County,80905
SPRING LIQUOR ENTERPRISE INC,RAMPART LIQUORS,Liquor Store (city), 01/03/2016,7635 N UNION BLVD,Colorado Springs,CO,809203863,38.878612,-104.826451,0.33,0,Colorado Springs,CO,El Paso County,80907
SPRINGS LIQUOR OUTLET INC,SPRINGS LIQUOR OUTLET,Liquor Store (city), 10/20/2015,6010 CAREFREE CIR NORTH,Colorado Springs,CO,809222402,38.876107,-104.741468,0.8, Carefree Cir S,Colorado Springs,CO,El Paso County,80917
"SPRINGS TOTAL WINE & LIQUOR, INC.",SPRINGS TOTAL WINE & LIQUOR,Liquor Store (city), 02/04/2016,2713 S JANITELL RD,Colorado Springs,CO,80906,38.799628625,-104.794406875,1,2713 Janitell Rd,Colorado Springs,CO,El Paso County,80906
SURAT INC,LIQUOR CITY,Liquor Store (city), 06/01/2016,1506 N ACADEMY BLVD STE B,COLORADO SPRINGS,CO,809092720,38.854429248322,-104.75741409396,0.9,1506 N Academy Blvd,Colorado Springs,CO,El Paso County,80909
TOLER CREATIONS LLC,PAUL'S LIQUOR,Liquor Store (city), 11/24/2015,2842 EAST PIKES PEAK AVENUE,Colorado Springs,CO,80909,38.99375,-104.719439,0.8, East Ln,Colorado Springs,CO,El Paso County,80908
VETERANS LIQUOR LLC,VETERANS WINE & LIQUOR,Liquor Store (city), 09/10/2015,3630 AUSTIN BLUFFS PKWY STE 180,Colorado Springs,CO,809186631,38.890805833333,-104.7613245,1,3630 Austin Bluffs Pkwy,Colorado Springs,CO,El Paso County,80918
VINDICATOR VALLEY INC,PINON VALLEY LIQUORS,Liquor Store (city), 01/29/2016,809-811 VLLG CNTR DR,Colorado Springs,CO,809193603,38.928208,-104.852626,0.33,0,Colorado Springs,CO,El Paso County,80919
VINO VILLAGE INC,VOYAGER LIQUOR,Liquor Store (city), 12/22/2015,12225 VOYAGER PKWY STE 9,Colorado Springs,CO,809213754,39.00921022449,-104.8066365102,1,12225 Voyager Pkwy,Colorado Springs,CO,El Paso County,80921
W H LIQUORS INC,COLORADO'S LIQUOR OUTLET,Liquor Store (city), 02/23/2016,1615 BRIARGATE BLVD,Colorado Springs,CO,809203448,38.945292,-104.798175,1,1615 Briargate Blvd,Colorado Springs,CO,El Paso County,80920
WOODMEN WINE & LIQUOR INC,WOODMEN WINE & LIQUOR,Liquor Store (city), 10/26/2015,3502 HARTSEL DRIVE,Colorado Springs,CO,809204165,38.940247727273,-104.76177090909,1,3502 Hartsel Dr,Colorado Springs,CO,El Paso County,80920
YI ENTERPRISES INC,AUSTIN BLUFFS PLAZA LIQUOR,Liquor Store (city), 12/15/2015,4331-4333 N ACADEMY BLVD,Colorado Springs,CO,80918,38.894403387755,-104.75843818367,0.9,4331-4333 N Academy Blvd,Colorado Springs,CO,El Paso County,80918
YOUNG HWAN P,FILLMORE DISCOUNT LIQUOR,Liquor Store (city), 01/02/2016,3119 SINTON RD,COLORADO SPRINGS,CO,809095021,38.87712,-104.8341815,1,3119 Sinton Rd,Colorado Springs,CO,El Paso County,80907
YOUNG LEE BEVERAGES LLC,LIQUOR AT PINE CREEK,Liquor Store (city), 12/09/2015,9420 BRIAR VILLAGE POINT STE D-140,Colorado Springs,CO,80920,38.967579,-104.782913,1,9420 Briar Village Pt,Colorado Springs,CO,El Paso County,80920
YOUNG YUN ENTERPRISES CO,LIQUOR AT AUSTIN BLUFFS,Liquor Store (city), 05/04/2016,4150 AUSTIN BLUFFS PKWY,Colorado Springs,CO,80918,38.892076586207,-104.75388044828,1,4150 Austin Bluffs Pkwy,Colorado Springs,CO,El Paso County,80918
ZOA INC,MOUNT VIEW LIQUOR,Liquor Store (city), 06/13/2016,313 MT VIEW LANE,Colorado Springs,CO,809074426,38.687159,-104.710278,0.8, Mt View Ln,Fountain,CO,El Paso County,80817
1741 B STREET LIQUORS INC,1741 B STREET LIQUOR,Liquor Store (county), 12/25/2015,1741 B STREET,Colorado Springs,CO,809065365,38.767351,-104.797623,1,1741 B St,Colorado Springs,CO,El Paso County,80906
6525 FOUNTAIN MESAINC,LIQUOR STOP,Liquor Store (county), 08/24/2015,6525 FOUNTAIN MESA RD,COLORADO SPRINGS,CO,809119622,38.7371802,-104.6952368,1,6525 Fountain Messa Rd,Colorado Springs,CO,El Paso County,80911
BLACK FOREST LIQUOR STORE LLC,BLACK FOREST LIQUOR STORE,Liquor Store (county), 12/09/2015,11450 BLACK FOREST RD,Colorado Springs,CO,809083992,38.997935230769,-104.70033523077,1,11450 Black Forest Rd,Colorado Springs,CO,El Paso County,80908
CHONG'S LIQUORS LLC,CHONG'S LIQUORS,Liquor Store (county), 01/15/2016,5805 E GALLEY RD,Colorado Springs,CO,809153735,38.8462462,-104.7206034,0.9,5805 E Galley Rd,Colorado Springs,CO,El Paso County,80915
GLENEAGLE LIQUORS LLC,GLENEAGLE LIQUOR,Liquor Store (county), 04/04/2016,13848 GLENEAGLE DR,Colorado Springs,CO,809213214,39.030812258065,-104.83086387097,1,13848 Gleneagle Dr,Colorado Springs,CO,El Paso County,80921
KSC CORP,BOB'S WESTSIDE LIQUOR,Liquor Store (county), 05/30/2016,3601 W COLORADO AVE,COLORADO SPRINGS,CO,809041913,38.85647,-104.88217571429,0.9,3601 Us Hwy 24 Business Rte,Colorado Springs,CO,El Paso County,80904
MYJO KIM LLC,ARIES LIQUORS,Liquor Store (county), 03/18/2016,1873 PETERSON RD,Colorado Springs,CO,80915,38.858916,-104.70079066667,1,1873 Peterson Rd,Colorado Springs,CO,El Paso County,80915
PAK JOHN,PETERSON DISCOUNT LIQUOR,Liquor Store (county), 03/25/2016,640 PETERSON RD,Colorado Springs,CO,809154002,38.8413216,-104.7015172,1,640 Peterson Rd,Colorado Springs,CO,El Paso County,80915
POWERS LIQUORS LLC,POWERS LIQUOR MART,Liquor Store (county), 06/13/2016,5847 PALMER PARK BLVD,Colorado Springs,CO,809151611,38.8570876875,-104.71930078125,0.9,5847 Palmer Park Blvd,Colorado Springs,CO,El Paso County,80915
R&R LIQUOR INC,R&R LIQUOR,Liquor Store (county), 04/09/2016,1845 MAIN ST,COLORADO SPRINGS,CO,809111156,38.76700459322,-104.73926588136,0.9,1845 Main St,Colorado Springs,CO,El Paso County,80911
ROCKWELL RHONDA L,STRATMOOR LIQUORS,Liquor Store (county), 01/26/2016,1807 B ST,COLORADO SPRINGS,CO,809065300,38.767238454148,-104.79761363319,1,1807 B St,Colorado Springs,CO,El Paso County,80906
"SHUBHAN, INC.",LIQUOR STOP,Liquor Store (county), 10/27/2015,6525 FOUNDATION MESA RD,Colorado Springs,CO,80911,38.752916,-104.723477,0.33,0,Colorado Springs,CO,El Paso County,80911
SPIRITS HOUSE OF LIQUOR LLC,SPIRITS HOUSE OF LIQUOR,Liquor Store (county), 05/01/2016,6 WIDEFIELD BLVD,COLORADO SPRINGS,CO,809112125,38.737130857143,-104.729237,1,6 Widefield Blvd,Colorado Springs,CO,El Paso County,80911
5275 QUEBEC INC,QUEBEC LIQUOR,Liquor Store (city), 07/16/2016,5275 QUEBEC ST,Commerce City,CO,800224840,39.793090352941,-104.90342485294,1,5275 Quebec St,Commerce City,CO,Adams County,80022
6610 MONACO INC,MONACO PLAZA LIQUORS,Liquor Store (city), 10/07/2015,6610 MONACO ST,Commerce City,CO,800222827,39.816702142857,-104.91281978571,1,6610 Monaco St,Commerce City,CO,Adams County,80022
DELS LIQUORS INC,DELS LIQUORS,Liquor Store (city), 12/25/2015,6079 QUEBEC,Commerce City,CO,800224150,39.807257061538,-104.903545,1,6079 Quebec St,Commerce City,CO,Adams County,80022
GARCHA ENTRPRIZES INC,TURNBERRY LIQUOR,Liquor Store (city), 03/27/2016,"12302 EAST 104 PLACE, UNIT 104",Commerce City,CO,80022,39.886404808081,-104.84343124242,0.8,12302 E 104th Pl,Commerce City,CO,Adams County,80022
JANS INC,SLJ LIQUORS,Liquor Store (city), 07/16/2016,"10401 BELLE CREEK BLVD, UNIT 106",Commerce City,CO,80640,39.890036,-104.880129,0.9,10401 Belle Creek Blvd,Henderson,CO,Adams County,80640
KIHWAN KIM INC,DERBY LIQUORS,Liquor Store (city), 12/07/2015,7270 HIGHWAY 2,Commerce City,CO,800221723,40.000323190045,-104.90615181599,0.9,7270 Co Rd,Thornton,CO,Adams County,80602
LAXMI GANESH INC,RIVERDALE WINE & SPIRITS,Liquor Store (city), 09/04/2016,15550 EAST 103RD PLACE #106,Commerce City,CO,80022,39.884498,-104.776385,0.8, E 103rd Ave,Commerce City,CO,Adams County,80022
LIQUORS PLUS INC,LIQUORS PLUS,Liquor Store (city), 01/13/2016,5281 E 52ND AVE,COMMERCE CITY,CO,800224206,39.791055828283,-104.92615965657,1,5281 E 52nd Ave,Commerce City,CO,Adams County,80022
RASSELS BEVERAGEHOUSE LLC,PARKWAY DISCOUNT LIQUORS,Liquor Store (city), 12/22/2015,6075 PARKWAY DR #101,Commerce City,CO,800225413,39.806536545455,-104.93011850649,1,6075 E Pkwy,Commerce City,CO,Adams County,80022
ROSEMARY LIQUORS INC,ROSEMARY LIQUOR AND FOOD MART,Liquor Store (city), 01/22/2016,8210 ROSEMARY ST,COMMERCE CITY,CO,800224912,39.8456895,-104.89965983333,1,8210 Rosemary St,Commerce City,CO,Adams County,80022
SPOTLIGHT LIQUORS INC,IVY K LIQUOR,Liquor Store (city), 08/20/2015,6344 IVY ST,Commerce City,CO,800223335,39.812499125,-104.919905,1,6344 Ivy St,Commerce City,CO,Adams County,80022
SSR3 LLC,REUNION WINE AND SPIRITS,Liquor Store (city), 10/09/2015,18220 E 104TH AVE SUITE #104 BLDG 1,Commerce City,CO,80022,39.885541,-104.79037332407,1,18220 E 104th Ave,Commerce City,CO,Adams County,80022
T&Z LLC,GARDEN LANE LIQUOR,Liquor Store (city), 04/11/2016,7586 HIGHWAY 2,Commerce City,CO,80022,40.000344873874,-104.90102838739,0.9,7586 Co Rd,Thornton,CO,Adams County,80602
TAP A KEG LIQUORS INC,TAP A KEG LIQUORS,Liquor Store (city), 07/11/2016,7002 HIGHWAY 2,Commerce City,CO,800222044,39.82372591,-104.91962896,0.9,7002 State Hwy,Commerce City,CO,Adams County,80022
ADAMS CITY LIQUOR LLC,ADAMS CITY LIQUOR,Liquor Store (county), 11/05/2015,7031 BRIGHTON BLVD,Commerce City,CO,80022,39.824221934783,-104.9299345,0.9,7031 Brighton Dr,Commerce City,CO,Adams County,80022
GAGAN & TANVIR INC,80TH AVENUE LIQUORS,Liquor Store (county), 11/27/2015,6933 E 80TH AVE,Commerce City,CO,800221119,39.841712734513,-104.90584954867,1,6933 E 80th Ave,Commerce City,CO,Adams County,80022
KIM JOUNG SIM,PAPPY'S LIQUOR,Liquor Store (county), 04/02/2016,7787 BRIGHTON RD,COMMERCE CITY,CO,800221507,39.837987,-104.92334,1,7787 Brighton Rd,Commerce City,CO,Adams County,80022
COMO COUNTRY STORE LLC,COMO COUNTRY STORE,Liquor Store (county), 10/25/2015,142 SIXTH ST,Como,CO,80432,39.158746,-105.816986,0.33,0,Como,CO,Park County,80432
ASPEN PARK WINE & SPIRITS LLC,ASPEN PARK WINE & SPIRITS,Liquor Store (county), 02/02/2016,25937 CONIFER ROAD,Conifer,CO,804339042,39.5423095,-105.2958845,1,25937 Conifer Rd,Conifer,CO,Jefferson County,80433
BIGGIE WINE AND LIQUORS LLC,BIGGIE WINE & LIQUOR,Liquor Store (county), 03/29/2016,25587 CONIFER RD,Conifer,CO,80433,39.54302155,-105.2926527,1,25587 Conifer Rd,Conifer,CO,Jefferson County,80433
C V L INC,CONIFER VILLAGE LIQUORS,Liquor Store (county), 12/08/2015,27182 MAIN STREET,Conifer,CO,80433,39.537578,-105.300656,0.8, Main St,Conifer,CO,Jefferson County,80433
SEVEN EIGHTEEN CORTEZ INC,LIQUID ASSETS,Liquor Store (city), 08/14/2016,718 E MAIN ST,Cortez,CO,813213309,37.348783892857,-108.57484232143,1,718 E Main St,Cortez,CO,Montezuma County,81321
TEEBOX INC,TEEBOX LIQUORS,Liquor Store (city), 08/24/2015,2410 FAIRWAY DR,Cortez,CO,813219310,37.3744512,-108.552779,1,2410 Fairway Dr,Cortez,CO,Montezuma County,81321
TUBROS LTD,CORK N BOTTLE,Liquor Store (city), 09/29/2015,443 E MAIN ST,CORTEZ,CO,813213318,37.348703428571,-108.57937814286,1,443 E Main St,Cortez,CO,Montezuma County,81321
WEST SLOPE LIQUORS INC,WEST SLOPE LIQUORS,Liquor Store (city), 02/04/2016,2212-1 EAST MAIN ST,Cortez,CO,81321,37.348624,-108.585192,1,2212 -001 E Main St,Cortez,CO,Montezuma County,81321
G WHIL LIQUORS LLC,G WHIL LIQUORS,Liquor Store (county), 03/02/2016,24001 ROAD G2,Cortez,CO,813219542,37.283177,-108.610216,0.9,24001 Co Rd E,Cortez,CO,Montezuma County,81321
SCHROEDER COLORADO INC,EAGLE CLAW TRADING POST & LIQUOR STORE,Liquor Store (county), 07/21/2016,4321 S US 160,CORTEZ,CO,81321,37.273072481481,-108.63305951852,1,4321 Us Hwy,Cortez,CO,Montezuma County,81321
TRIPLE H & J INC,SMITTY'S LIQUORS,Liquor Store (county), 04/06/2016,10255 HWY 491,Cortez,CO,813218301,37.36178885567,-108.59512573196,1,10255 Us Hwy,Cortez,CO,Montezuma County,81321
BIGHORN LIQUOR LLC,BIGHORN LIQUOR,Liquor Store (county), 06/11/2016,20180 HWY 50 SUITE B,COTOPAXI,CO,81223,38.3902,-105.65312,0.8, Us Hwy,Cotopaxi,CO,Fremont County,81223
ELK LIQUOR STORE INC,ELK LIQUOR STORE,Liquor Store (city), 01/10/2016,1111 W VICTORY WAY #135,CRAIG,CO,816252950,40.514187888889,-107.56046111111,1,1111 W Victory Way,Craig,CO,Moffat County,81625
GILLAM INC,STOCKMEN'S LIQUOR,Liquor Store (city), 08/03/2016,574 PERSHING,Craig,CO,816253006,40.515595666667,-107.55445666667,1,574 Pershing St,Craig,CO,Moffat County,81625
HETTINGER CLYDE R,DARK HORSE DISCOUNT LIQUOR,Liquor Store (city), 01/26/2016,1520 W VICTORY WY,CRAIG,CO,816253414,40.51417,-107.56427220588,1,1520 W Victory Way,Craig,CO,Moffat County,81625
IRVIN'S LLC,LOADOUT LIQUOR'S,Liquor Store (city), 12/06/2015,1800 W VICTORY WAY,CRAIG,CO,816253420,40.514139,-107.56788,1,1800 W Victory Way,Craig,CO,Moffat County,81625
JIMMY D'S INC,EASTSIDE LIQUOR,Liquor Store (city), 09/17/2015,539 E VICTORY WY,Craig,CO,816251853,40.514279,-107.54075,1,539 E Victory Way,Craig,CO,Moffat County,81625
LARIAT LEE LIQUORS INC,LARIAT LEE LIQUORS,Liquor Store (city), 07/28/2015,391 LINCOLN ST,Craig,CO,816251820,40.51230725,-107.541259125,1,391 Lincoln St,Craig,CO,Moffat County,81625
MCCULLOUGH DON,CRAWFORD LIQUORS,Liquor Store (city), 04/24/2016,281 HWY 92,CRAWFORD,CO,814158104,38.703179268041,-107.60774235052,1,281 State Hwy,Crawford,CO,Delta County,81415
DESPERADO INC,DESPERADO LIQUOR,Liquor Store (county), 12/25/2015,40486 D LANE,Crawford,CO,814159124,38.70388,-107.60895,0.33,0,Crawford,CO,Delta County,81415
LIQUID AMBITIONS LIQUOR LLC,LIQUID AMBITIONS LIQUOR,Liquor Store (county), 04/01/2016,21315 HWY 149,Creede,CO,81130,37.846281,-106.923194,0.9,21315 State Hwy,Creede,CO,Mineral County,81130
MADISONS WINE HOUSE LLC,WINE HOUSE,Liquor Store (city), 08/03/2016,301 6TH STREET,Crested Butte,CO,81224,38.870664,-106.980939,0.9,301 6th St,Crested Butte,CO,Gunnison County,81224
"PDC ENTERPRISES, LLC",ACME LIQUOR STORE,Liquor Store (city), 04/16/2016,510 BELLEVIEW,Crested Butte,CO,81224,38.867042545455,-106.98237886364,0.9,510 Belleview Ave,Crested Butte,CO,Gunnison County,81224
TOMCAT ENTERPRISES INC,MOUNTAIN SPIRITS LIQUORS,Liquor Store (city), 08/24/2016,220 ELK AVENUE,Crested Butte,CO,812249608,38.869756857143,-106.98713385714,1,220 Elk Ave,Crested Butte,CO,Gunnison County,81224
RED MOUNTAIN LIQUORS INC,RED MOUNTAIN LIQUORS,Liquor Store (county), 12/20/2015,81 GILLASPEY,CRESTED BUTTE,CO,812249617,38.81157762963,-106.88591251852,1,81 Gillaspey Ave,Crested Butte,CO,Gunnison County,81224
CRESTONE SPIRITS CENTER LLC THE,CRESTONE SPIRITS CENTER THE,Liquor Store (city), 07/01/2016,158 E SILVER AVE,Crestone,CO,81131,37.994222416667,-105.70039758333,1,158 W Silver Ave,Crestone,CO,Saguache County,81131
DONKEY LIQUORS LLC,DONKEY LIQUORS,Liquor Store (city), 08/04/2016,207 E CARR,Cripple Creek,CO,80813,38.747546071429,-105.17821714286,0.8,207 E Carr Ave,Cripple Creek,CO,Teller County,80813
GESAM INC,CRIPPLE CREEK LIQUOR,Liquor Store (city), 02/26/2016,1073 TELLER COUNTY RD #1,CRIPPLE CREEK,CO,80813,38.757508,-105.151187,0.8, Co Rd,Cripple Creek,CO,Teller County,80813
CUCHARA WINE & SPIRITS INC,CUCHARA WINE & SPIRITS,Liquor Store (county), 05/01/2016,34 CUCHARA AVE EAST,Cuchara,CO,810559729,37.379968209302,-105.09962495349,1,34 Cuchara Ave,La Veta,CO,Huerfano County,81055
52 LIQUOR LLC,52 LIQUOR LLC,Liquor Store (city), 12/14/2015,901 CARBONDALE_DRIVE,DACONO,CO,805149550,40.086937697987,-104.9332672349,1,901 Carbondale Dr,Dacono,CO,Weld County,80514
RRRL LLC,DACONO LIQUOR,Liquor Store (city), 02/12/2016,600 GLEN CREIGHTON DR,Dacono,CO,80514,40.086864,-104.930239,1,600 Glen Creighton Dr,Dacono,CO,Weld County,80514
KUHNS-DEBEQUE PROPERTIES LLC,DEBEQUE LIQUORS,Liquor Store (city), 03/21/2016,381 STEWART AVENUE,De Beque,CO,81630,39.333159367347,-108.21259516327,1,381 Stewart Ave,De Beque,CO,Mesa County,81630
PLATTE VALLEY LIQUOR INC,PLATTE VALLEY LIQUOR,Liquor Store (county), 05/19/2016,8570 S HWY 67 UNIT E,DECKERS,CO,801359504,39.235800491803,-105.20393906557,1,8570 S Hwy,Sedalia,CO,Douglas County,80135
VASHUS KENT A,CORNER THE,Liquor Store (city), 02/02/2016,489 5TH AVE,DEER TRAIL,CO,801058018,39.614204265306,-104.04113195918,1,489 5th Ave,Deer Trail,CO,Arapahoe County,80105
GONZALES LAWRENCE,TIN CUP LIQUOR THE,Liquor Store (city), 06/07/2016,216 OAK ST,Del Norte,CO,811322341,37.68264477551,-106.35135734694,1,216 Oak St,Del Norte,CO,Rio Grande County,81132
WILD WEST WINE &SPIRITS INC,WILD WEST WINE & SPIRITS,Liquor Store (city), 08/10/2016,535 GRANDE AVE,DEL NORTE,CO,811322202,37.6789541,-106.3555083,1,535 Grand Ave,Del Norte,CO,Rio Grande County,81132
D&B LIQUORS INC,D&B LIQUORS,Liquor Store (city), 05/14/2016,201 MAIN ST,Delta,CO,814161814,38.744285,-108.070917,1,201 Main St,Delta,CO,Delta County,81416
GRAND VALLEY CONVENIENCE STORE LLC,GRAND VALLEY LIQUORS,Liquor Store (city), 12/05/2015,750 MAIN ST,Delta,CO,814161828,38.737071102041,-108.07067979592,1,750 Main St,Delta,CO,Delta County,81416
HOGO LIQUORS LLC,WHISKEY'S,Liquor Store (city), 06/08/2016,1100 HWY 92,Delta,CO,81416,38.750483894737,-108.05908131579,0.9,1100 State Hwy,Delta,CO,Delta County,81416
SPIRITS INC,MOONSHINE LIQUOR,Liquor Store (city), 09/06/2015,268 HIGHWAY 92,Delta,CO,814162044,38.746025877551,-108.06853691837,0.9,268 State Hwy,Delta,CO,Delta County,81416
TRIANTOS CRAIG A,PETERSON LIQUOR,Liquor Store (city), 12/02/2015,455 W 8TH,Delta,CO,814161637,38.736347461538,-108.07568546154,1,455 W 8th St,Delta,CO,Delta County,81416
UPTOWN WINES LLC,UPTOWN WINES,Liquor Store (city), 03/24/2016,436 MAIN ST,Delta,CO,81416,38.741192204082,-108.07074702041,1,436 Main St,Delta,CO,Delta County,81416
9TH & FEDERAL LIQUORS INC,USA LIQUORS,Liquor Store (city), 06/16/2016,900 FEDERAL BLVD,DENVER,CO,802043215,39.731193,-105.025156,1,900 Federal Blvd,Denver,CO,Denver County,80204
